"Year","time_block","Location","Territory","Block","he","sampling_method","ID","Acarina","Araneae","Auchenorrhyncha","Chilopoda","Coleoptera","Dermaptera","Diptera","Entomobryomorpha","Heteroptera","Hymenoptera","Isopoda","Lepidoptera","Neuroptera","Opiliones","Orthoptera","Psocoptera","Sternorrhyncha","Thysanoptera","Thysanura"
2012,1,"BC","2","1","ARCA","canopy","BC_2_ARCA_1",0,5.85312811959647,8.04079552356017,0,0,0,1.18545276128817,0,5.47898683355256,1.7509858404074,0,0,0,0,0,0.0425,0.120304677878785,0.0142,0
2012,1,"BC","2","1","ARCA","ground","BC_2_ARCA_1",0,0,0,0,0,0,2.67231500891268,0.000187769468798099,1.26262179518634,0,0,0,0,0,0,0,0.299704677878785,0,0
2012,1,"BC","2","1","BARE","canopy","BC_2_BARE_1",0,0,0,0,0,0,0,0,0,0.610576789661687,0,0,0,0,0,0,0,0,0
2012,1,"BC","2","1","BARE","ground","BC_2_BARE_1",0.053,13.6657094420399,0,0,0,0,11.076750914118,0.0072,0,5.49519110695518,0,0,0,0,0,0,0,0,0
2012,1,"BC","2","1","BRSP","canopy","BC_2_BRSP_1",0.145695946678408,0.369253690889069,0,0,20.8722271939826,0,0.852857077741384,0,13.678002562937,2.47652382191764,0,1.95512799059693,0,0,0,0,177.77536879059,0,0
2012,1,"BC","2","1","BRSP","ground","BC_2_BRSP_1",0,0,0.280159380414109,0,0.0475775577250099,0,0.175893377233828,0.136178634181784,0.400329065064269,12.9952099200892,0,0,0,0,0,0.08253731201138,0.634908587088907,0,0
2012,1,"BC","2","1","ERFA","canopy","BC_2_ERFA_1",0,0,0,0,11.6533239784268,0,0.525329148595231,0,0,0.648579966594819,0,0,0,0,0,0,0,0,0
2012,1,"BC","2","1","ERFA","ground","BC_2_ERFA_1",0,0,0,0,0.745390698765234,0,0,0.0024,0.219747026598099,10.9574871722604,0,0,0,0,0,0.132182826100035,0,0,0
2012,1,"BC","2","1","EXGR","canopy","BC_2_EXGR_1",0,2.04736107266721,1.28797120436788,0,0,0,0.226986754467657,0,0,0.932973516127979,0,0,0,0,0,0,0,0,0
2012,1,"BC","2","1","EXGR","ground","BC_2_EXGR_1",0,0.512702421602929,0,0,0,0,0,0.100344775101273,0,0.706946725483231,0,0,0,0,0,0.0136647857614502,0,0,0
2012,1,"BC","2","1","NAGR","canopy","BC_2_NAGR_1",0.0624082112503502,1.37261476355627,2.4290032986368,0,0.205,0,0.269252294249727,0.0696688615096261,0,1.67268259901115,0,0,0,0,0,0,0,0,0
2012,1,"BC","2","1","NAGR","ground","BC_2_NAGR_1",0,0.264853690889069,9.86830786872325,0,0.00657755772500988,0,0.0312,0.0024,0,6.24267219698775,0,0,0,0,0,0,0,0,0
2012,1,"BC","2","1","OPLI","canopy","BC_2_OPLI_1",0,1.8133837308874,0,0,0.716188833736496,0,1.25701390403977,0,0,1.83173036898506,0,0,0,0,0,0,0,0,0
2012,1,"BC","2","1","OPLI","ground","BC_2_OPLI_1",0.0094082112503502,1.85302265274575,0,0,0.856461991882993,0,3.44273889670461,0.664445466147822,0,11.9004165254559,0,0,0,0,0,0,0,0,0
2012,1,"BC","2","1","RHIN","canopy","BC_2_RHIN_1",0,0.617102421602929,0,0,0.716188833736496,0,2.01188369807759,0,0,5.08698321059048,0,0,0,0,0,0.521071891267472,0,0,0
2012,1,"BC","2","1","RHIN","ground","BC_2_RHIN_1",0,0.264853690889069,1.51010488707932,0,60.6540211899756,0,3.62931503222989,0.0130542457508184,0,0.610576789661687,0,0,0,0,0,0,0,0,0
2012,1,"BC","2","1","SANI","canopy","BC_2_SANI_1",0,1.47289941933247,0,0,28.2102171667004,0,2.93032635476529,0,0,5.73683098056439,0,0,0,0,0,0.396548478300105,0.0598,0.0198610348263145,0
2012,1,"BC","2","1","SANI","ground","BC_2_SANI_1",0,6.48875122930689,0.727652443539659,0,0.837111392354003,0,5.70145222625531,0.0048,0.321158637940789,1.73822694206499,0,0,0,0,0,0.085,0,0.0071,0
2012,1,"BC","2","2","ARCA","canopy","BC_2_ARCA_2",0,2.89498568879215,3.58498893962224,0,0,0,0,0,0.473594053196198,1.22115357932337,0,0,0,0,0,0.2125,0,0,0
2012,1,"BC","2","2","ARCA","ground","BC_2_ARCA_2",0,0,1.45530488707932,0,0,0,4.74400657406844,0,0,7.91525541761723,21.9243832580652,0,0,0,0,0,0.197549937452624,0,0
2012,1,"BC","2","2","BARE","canopy","BC_2_BARE_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,1,"BC","2","2","BARE","ground","BC_2_BARE_2",0,0,0,0,0,0,0,0,0,3.95762770880861,0,0,0,0,1.7771499835271,0,0,0,0
2012,1,"BC","2","2","BRSP","canopy","BC_2_BRSP_2",0,0,0,0,7.01524316127461,0,1.42243397985354,0,0,25.0624162824507,0,0.275544424156321,6.49340691816567,0,0,0,169.677455477021,0,0
2012,1,"BC","2","2","BRSP","ground","BC_2_BRSP_2",0.279920580429459,10.913471866403,3.03105857774908,0,0,0,5.13630580618945,0.216,21.4508898571795,29.4736395118028,43.4224280836474,0,0,0,0,0,4.73132602107527,0,0
2012,1,"BC","2","2","ERFA","canopy","BC_2_ERFA_2",0,0.369253690889069,0.280159380414109,0,3.451412651873,0,0.163763964573077,0,2.72628076381778,0,0,0,0,0,0,0.085,0,0,0
2012,1,"BC","2","2","ERFA","ground","BC_2_ERFA_2",0,0.264853690889069,1.45530488707932,0,0,0,2.26721332272422,0,0,3.95762770880861,9.24787967296125,0,0,0,0,0,0,0,0
2012,1,"BC","2","2","EXGR","canopy","BC_2_EXGR_2",0,18.0661360573437,5.80833896517184,0,3.76625194408518,0,0,0,0,14.2515833641236,0,0,0,0,0,0,1.80386549030299,0,0
2012,1,"BC","2","2","EXGR","ground","BC_2_EXGR_2",0.106,0.264853690889069,2.46311671103309,0,0,0,0,0.408535902545352,0,13.1920923626954,0,0,0,0,0,0,0.120304677878785,0,0
2012,1,"BC","2","2","NAGR","canopy","BC_2_NAGR_2",0.053,20.3428855346666,1.77361643787626,0,0.745390698765234,0,0,0,0.219747026598099,3.05288394830843,0,0,0,0,0,0,0,0,0
2012,1,"BC","2","2","NAGR","ground","BC_2_NAGR_2",0,20.6395630427678,0.727652443539659,0,0,0,0,0,0,3.48198028311001,0,0,0,0,0,0,0,0,0
2012,1,"BC","2","2","OPLI","canopy","BC_2_OPLI_2",0,0.369253690889069,3.19076915457274,0,2.98490319172692,0,0.61691468361381,0,0,3.37528067477473,0,0,0,0,0,0.0425,0.0598,0,0
2012,1,"BC","2","2","OPLI","ground","BC_2_OPLI_2",0.053,1.85302265274575,1.43228610281054,0,0,44.4521326426397,0.163763964573077,0.122703654366589,0,3.95762770880861,34.1865412741222,4.09630876880026,0,0,0,0,0,0,0
